STAMINA_INIT signal=hr source=hrZones aet=179.0 ant=255.0 zones=[128,153,179,204,230,255]
STAMINA_TICK signal=hr effort=90.0 zone=<Z1 intensity=-0.497 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=92.0 zone=<Z1 intensity=-0.486 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=98.0 zone=<Z1 intensity=-0.453 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=100.0 zone=<Z1 intensity=-0.441 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=104.0 zone=<Z1 intensity=-0.419 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=106.0 zone=<Z1 intensity=-0.408 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=107.0 zone=<Z1 intensity=-0.402 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=107.0 zone=<Z1 intensity=-0.402 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=106.0 zone=<Z1 intensity=-0.408 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=104.0 zone=<Z1 intensity=-0.419 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=93.0 zone=<Z1 intensity=-0.480 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=91.0 zone=<Z1 intensity=-0.492 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=87.0 zone=<Z1 intensity=-0.514 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=86.0 zone=<Z1 intensity=-0.520 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=86.0 zone=<Z1 intensity=-0.520 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=87.0 zone=<Z1 intensity=-0.514 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=89.0 zone=<Z1 intensity=-0.503 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=91.0 zone=<Z1 intensity=-0.492 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=93.0 zone=<Z1 intensity=-0.480 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=95.0 zone=<Z1 intensity=-0.469 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=98.0 zone=<Z1 intensity=-0.453 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=100.0 zone=<Z1 intensity=-0.441 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=102.0 zone=<Z1 intensity=-0.430 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=102.0 zone=<Z1 intensity=-0.430 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=104.0 zone=<Z1 intensity=-0.419 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=105.0 zone=<Z1 intensity=-0.413 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=106.0 zone=<Z1 intensity=-0.408 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=107.0 zone=<Z1 intensity=-0.402 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=107.0 zone=<Z1 intensity=-0.402 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=108.0 zone=<Z1 intensity=-0.397 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=109.0 zone=<Z1 intensity=-0.391 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=108.0 zone=<Z1 intensity=-0.397 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=108.0 zone=<Z1 intensity=-0.397 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=106.0 zone=<Z1 intensity=-0.408 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=105.0 zone=<Z1 intensity=-0.413 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=102.0 zone=<Z1 intensity=-0.430 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=100.0 zone=<Z1 intensity=-0.441 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=100.0 zone=<Z1 intensity=-0.441 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=102.0 zone=<Z1 intensity=-0.430 wbal=100.00 energy=100.00 display=100.00
STAMINA_TICK signal=hr effort=104.0 zone=<Z1 intensity=-0.419 wbal=100.00 energy=100.00 display=100.00
